plant,line,orig_plant,item_code
18,,18,6
56,,56,59
138,,138,59
56,,56,60
138,,138,60
56,,56,61
56,,56,62
138,,138,62
56,,56,63
56,,56,54
138,,138,54
56,,56,57
138,,138,57
56,,56,58
138,,138,58
56,,56,64
138,,138,64
18,,18,68
127,,127,68
154,1.0,154,68
18,,18,69
127,,127,69
18,,18,74
154,1.0,154,74
18,,18,75
125,,125,75
154,1.0,154,75
127,,127,75
10,,10,77
18,,18,78
127,,127,78
128,,128,78
10,,10,80
14,,14,80
15,,15,80
179,,179,81
261,,261,81
46,,46,97
107,,107,97
168,,168,97
179,,179,97
181,,181,97
46,,46,98
168,,168,98
80,,80,98
94,,94,98
181,,181,98
179,,179,98
46,,46,106
148,,148,106
168,,168,106
179,,179,106
261,,261,106
262,,262,106
168,,168,111
181,,181,111
148,,148,111
170,,170,111
46,,46,111
18,,18,112
68,,68,112
72,,72,112
133,,133,121
72,,72,121
14,,14,121
133,,133,122
72,,72,122
14,,14,122
231,,231,154
231,,231,155
14,,14,159
72,,72,159
89,,89,159
18,,18,159
14,,14,163
18,,18,163
72,,72,163
89,,89,163
18,,18,190
72,,72,190
14,,14,190
15,,15,229
79,,79,229
18,,18,229
14,,14,229
49,,49,236
72,,72,236
79,,79,236
49,,49,238
72,,72,238
79,,79,238
9,,9,257
10,,10,257
14,,14,257
72,,72,257
79,,79,257
61,,61,573
62,,62,573
68,,68,573
61,,61,574
62,,62,574
68,,68,574
191,,191,638
245,,245,638
246,,246,638
192,,192,639
245,,245,639
246,,246,639
235,,235,799
235,,235,809
14,,14,3285
15,,15,3285
18,,18,3285
68,,68,3285
60,,60,3336
70,,70,3336
61,,61,3905
150,,150,3905
60,,60,3900
210,,210,3900
60,,60,3902
210,,210,3902
62,,62,3904
60,,60,3904
61,,61,3904
210,,210,3906
60,,60,3906
62,,62,3916
61,,61,3916
62,,62,3917
61,,61,3917
60,,60,3921
150,,150,3921
210,,210,3921
150,,150,3920
61,,61,3920
62,,62,3922
61,,61,3922
60,,60,3922
150,,150,3925
61,,61,3925
62,,62,3932
61,,61,3932
210,,210,3932
150,,150,3932
60,,60,3932
210,,210,3933
61,,61,3933
60,,60,3933
60,,60,3937
61,,61,3937
62,,62,3937
150,,150,3937
210,,210,3937
61,,61,3949
60,,60,3950
61,,61,3950
62,,62,3950
210,,210,3950
60,,60,3952
150,,150,3952
210,,210,3952
60,,60,3953
61,,61,3953
62,,62,3953
210,,210,3953
62,,62,3955
61,,61,3955
210,,210,3955
60,,60,3955
62,,62,3957
210,,210,3957
61,,61,3957
62,,62,3960
60,,60,3960
61,,61,3960
210,,210,3960
61,,61,3964
210,,210,3964
61,,61,3965
210,,210,3965
210,,210,3968
61,,61,3968
61,,61,3970
62,,62,3970
153,,153,3970
61,,61,3979
62,,62,3979
60,,60,3980
210,,210,3980
61,,61,4014
62,,62,4014
61,,61,4016
61,,61,4018
62,,62,4018
61,,61,4020
62,,62,4020
61,,61,4022
62,,62,4022
61,,61,4024
62,,62,4024
61,,61,4026
62,,62,4026
61,,61,4028
62,,62,4028
210,,210,4030
62,,62,4036
61,,61,4036
61,,61,4037
