plant,holiday
46,41
46,48
46,55
46,62
46,69
95,41
95,48
95,55
95,62
95,69
124,41
124,48
124,55
124,62
124,69
168,41
168,48
168,55
168,62
168,69
49,41
49,48
49,55
49,62
49,69
128,41
128,48
128,55
128,62
128,69
171,41
171,48
171,55
171,62
171,69
148,41
148,48
148,55
148,62
148,69
51,41
51,48
51,55
51,62
51,69
123,41
123,48
123,55
123,62
123,69
127,41
127,48
127,55
127,62
127,69
9,41
9,48
9,55
9,62
9,69
94,41
94,48
94,55
94,62
94,69
14,41
14,48
14,55
14,62
14,69
125,41
125,48
125,55
125,62
125,69
181,41
181,48
181,55
181,62
181,69
154,41
154,48
154,55
154,62
154,69
122,41
122,48
122,55
122,62
122,69
179,41
179,48
179,55
179,62
179,69
170,41
170,48
170,55
170,62
170,69
4,41
4,48
4,55
4,62
4,69
15,41
15,48
15,55
15,62
15,69
162,41
162,48
162,55
162,62
162,69
152,41
152,48
152,55
152,62
152,69
214,41
214,48
214,55
214,62
133,41
133,48
133,55
133,62
133,69
13,41
13,48
13,55
13,62
13,69
182,41
182,48
182,55
182,62
182,69
18,41
18,48
18,55
18,62
18,69
29,41
29,48
29,55
29,62
29,69
11,41
11,48
11,55
11,62
11,69
20,41
20,48
20,55
20,62
20,69
93,41
93,48
93,55
93,62
93,69
5,41
5,48
5,55
5,62
5,69
50,41
50,48
50,55
50,62
50,69
25,41
25,48
25,55
25,62
25,69
212,41
212,48
212,55
212,62
212,69
36,41
36,48
36,55
36,62
36,69
16,41
16,48
16,55
16,62
16,69
19,41
19,48
19,55
19,62
19,69
154,41
154,48
154,55
154,62
154,69
