week,period
35,35
35,36
35,37
35,38
35,39
35,40
35,41
42,42
42,43
42,44
42,45
42,46
42,47
42,48
49,49
49,50
49,51
49,52
49,53
49,54
49,55
56,56
56,57
56,58
56,59
56,60
56,61
56,62
63,63
63,64
63,65
63,66
63,67
63,68
63,69
70,70
70,71
70,72
70,73
70,74
70,75
70,76
77,77
77,78
77,79
77,80
77,81
77,82
77,83
84,84
84,85
84,86
84,87
84,88
84,89
84,90
91,91
91,92
91,93
91,94
91,95
91,96
91,97
98,98
98,99
98,100
98,101
98,102
98,103
98,104
105,105
105,106
105,107
105,108
105,109
105,110
105,111
112,112
112,113
112,114
112,115
112,116
112,117
112,118
119,119
119,120
119,121
119,122
119,123
119,124
119,125
126,126
126,127
126,128
126,129
126,130
126,131
126,132
133,133
133,134
133,135
133,136
133,137
133,138
133,139
