set,item_code
34,587
35,587
132,587
127,587
104,587
106,587
34,582
35,582
33,582
34,581
35,581
126,581
33,581
34,583
35,583
127,583
34,585
35,585
126,585
33,585
34,579
35,579
53,579
104,579
106,579
33,579
34,580
35,580
10,580
104,580
106,580
34,586
35,586
132,586
127,586
104,586
106,586
60,258
90,258
60,100
91,100
59,100
60,257
90,257
60,99
91,99
59,99
52,189
92,189
52,185
92,185
52,188
92,188
52,184
92,184
145,253
114,268
114,250
114,267
114,249
79,121
78,121
79,122
78,122
70,229
83,229
84,229
146,164
146,160
146,168
146,163
146,159
146,167
81,578
102,578
81,575
102,575
81,577
102,577
82,596
102,449
102,467
102,448
15,97
110,97
14,97
11,97
99,97
15,111
110,111
14,111
109,111
11,111
99,111
15,144
110,144
14,144
15,98
110,98
14,98
109,98
11,98
99,98
13,98
12,98
105,98
15,110
110,110
14,110
11,110
99,110
13,110
113,110
16,110
12,110
105,110
78,177
78,206
78,193
78,137
7,4043
7,4042
14,101
109,101
14,106
109,106
11,106
113,106
16,106
5,3948
4,3948
62,79
50,79
62,78
50,78
62,75
28,75
51,75
63,75
29,75
62,74
28,74
51,74
63,74
29,74
28,68
29,68
50,68
28,69
50,69
22,6
17,195
20,609
20,619
20,612
20,615
20,598
20,608
20,610
20,618
20,613
20,611
20,614
20,603
20,597
20,620
20,600
20,599
20,606
18,453
101,453
21,454
101,454
23,201
23,200
131,194
19,156
101,468
101,459
101,463
101,460
101,462
6,4015
6,4017
6,4029
6,4027
6,4025
6,4041
6,4021
6,4019
6,4023
6,4045
6,4038
6,4014
6,4036
6,4016
6,4028
6,4026
6,4024
6,4040
6,4020
6,4018
6,4022
6,4044
6,4037
55,3909
56,3909
55,3920
56,3920
55,3916
55,3917
65,3904
64,3904
57,3910
58,3910
57,3912
58,3912
57,3906
58,3906
57,3902
58,3902
66,3921
68,3921
67,3921
8,4035
8,4031
8,4033
8,4039
8,4034
8,4030
8,4032
150,62
149,62
89,62
150,59
149,59
150,60
149,60
88,60
150,53
149,53
152,57
151,57
152,58
151,58
152,54
151,54
152,51
151,51
149,55
149,63
149,52
149,61
103,475
111,475
71,570
138,570
31,570
104,570
32,570
30,570
97,570
108,570
71,569
138,569
31,569
104,569
32,569
30,569
97,569
108,569
34,491
35,491
0,491
104,491
34,550
35,550
128,550
104,550
106,550
33,550
98,550
34,516
35,516
104,516
106,516
34,490
35,490
0,490
104,490
34,559
35,559
104,559
34,507
35,507
69,507
104,507
106,507
34,457
129,457
104,457
106,457
34,510
35,510
33,510
34,514
35,514
125,514
104,514
33,514
98,514
34,531
35,531
104,531
106,531
33,531
34,527
35,527
104,527
106,527
34,480
35,480
85,480
104,480
106,480
34,554
35,554
104,554
106,554
34,481
35,481
34,532
35,532
124,532
34,553
35,553
104,553
106,553
34,530
35,530
104,530
106,530
34,529
35,529
104,529
106,529
34,534
35,534
123,534
104,534
33,534
98,534
34,549
35,549
128,549
104,549
106,549
33,549
98,549
34,546
35,546
124,546
104,546
106,546
33,546
130,546
98,546
34,545
35,545
122,545
104,545
106,545
33,545
130,545
98,545
34,489
35,489
9,489
104,489
106,489
26,506
157,506
104,506
25,506
97,506
26,513
104,513
26,565
137,565
104,565
27,565
25,565
97,565
108,565
26,524
104,524
27,524
76,524
136,524
25,524
75,524
135,524
108,524
26,495
44,495
26,520
39,520
140,520
104,520
27,520
40,520
141,520
25,520
38,520
139,520
97,520
108,520
26,498
155,498
104,498
25,498
154,498
96,498
97,498
26,521
74,521
104,521
27,521
25,521
73,521
108,521
26,483
46,483
25,483
45,483
97,483
26,505
157,505
104,505
25,505
97,505
26,456
104,456
26,450
155,450
104,450
27,450
156,450
108,450
26,567
46,567
104,567
27,567
47,567
108,567
26,496
25,496
2,496
48,496
97,496
26,501
25,501
95,501
97,501
26,568
46,568
104,568
26,512
104,512
26,543
144,543
104,543
107,543
25,543
143,543
97,543
26,474
104,474
26,451
155,451
104,451
26,508
104,508
25,508
97,508
26,493
44,493
27,493
108,493
26,564
137,564
104,564
27,564
25,564
97,564
108,564
26,525
39,525
140,525
104,525
107,525
27,525
40,525
141,525
25,525
38,525
139,525
97,525
108,525
26,523
104,523
27,523
76,523
136,523
25,523
75,523
135,523
108,523
26,494
44,494
104,494
25,494
134,494
43,494
31,465
148,465
104,465
31,473
148,473
104,473
31,536
94,536
104,536
107,536
32,536
30,536
93,536
97,536
108,536
31,464
148,464
104,464
31,540
148,540
104,540
32,540
30,540
147,540
61,540
97,540
81,578
102,578
81,578
102,578
81,575
102,575
81,575
102,575
81,577
102,577
81,577
102,577
27,518
72,518
25,518
133,518
97,518
108,518
27,486
42,486
108,486
27,556
76,556
136,556
25,556
75,556
135,556
97,556
27,500
49,500
3,500
108,500
27,517
72,517
25,517
133,517
97,517
108,517
27,504
47,504
25,504
45,504
97,504
108,504
102,511
102,449
102,467
102,448
25,492
2,492
48,492
97,492
25,497
1,497
97,497
25,541
97,541
119,551
110,551
118,551
116,551
99,551
117,551
105,551
119,544
110,544
121,477
87,477
109,477
120,477
121,478
109,478
120,478
109,535
116,537
99,537
80,487
99,487
33,547
98,547
77,560
101,560
18,453
101,453
21,454
101,454
101,468
101,459
101,463
101,460
101,462
