plant,period
55,36
55,37
55,38
55,39
55,40
55,41
55,42
55,43
55,44
55,45
55,46
55,47
55,48
55,49
55,50
55,51
55,52
55,53
55,54
55,55
55,56
55,57
55,58
55,59
55,60
55,61
55,62
55,63
55,64
55,65
55,66
55,67
55,68
55,69
55,70
55,77
55,84
55,91
55,98
55,105
55,112
55,119
55,126
55,133
55,140
115,36
115,37
115,38
115,39
115,40
115,41
115,42
115,43
115,44
115,45
115,46
115,47
115,48
115,49
115,50
115,51
115,52
115,53
115,54
115,55
115,56
115,57
115,58
115,59
115,60
115,61
115,62
115,63
115,64
115,65
115,66
115,67
115,68
115,69
115,70
115,77
115,84
115,91
115,98
115,105
115,112
115,119
115,126
115,133
115,140
60,36
60,37
60,38
60,39
60,40
60,41
60,42
60,43
60,44
60,45
60,46
60,47
60,48
60,49
60,50
60,51
60,52
60,53
60,54
60,55
60,56
60,57
60,58
60,59
60,60
60,61
60,62
60,63
60,64
60,65
60,66
60,67
60,68
60,69
60,70
60,77
60,84
60,91
60,98
60,105
60,112
60,119
60,126
60,133
60,140
243,36
243,37
243,38
243,39
243,40
243,41
243,42
243,43
243,44
243,45
243,46
243,47
243,48
243,49
243,50
243,51
243,52
243,53
243,54
243,55
243,56
243,57
243,58
243,59
243,60
243,61
243,62
243,63
243,64
243,65
243,66
243,67
243,68
243,69
243,70
243,77
243,84
243,91
243,98
243,105
243,112
243,119
243,126
243,133
243,140
146,36
146,37
146,38
146,39
146,40
146,41
146,42
146,43
146,44
146,45
146,46
146,47
146,48
146,49
146,50
146,51
146,52
146,53
146,54
146,55
146,56
146,57
146,58
146,59
146,60
146,61
146,62
146,63
146,64
146,65
146,66
146,67
146,68
146,69
146,70
146,77
146,84
146,91
146,98
146,105
146,112
146,119
146,126
146,133
146,140
161,36
161,37
161,38
161,39
161,40
161,41
161,42
161,43
161,44
161,45
161,46
161,47
161,48
161,49
161,50
161,51
161,52
161,53
161,54
161,55
161,56
161,57
161,58
161,59
161,60
161,61
161,62
161,63
161,64
161,65
161,66
161,67
161,68
161,69
161,70
161,77
161,84
161,91
161,98
161,105
161,112
161,119
161,126
161,133
161,140
139,36
139,37
139,38
139,39
139,40
139,41
139,42
139,43
139,44
139,45
139,46
139,47
139,48
139,49
139,50
139,51
139,52
139,53
139,54
139,55
139,56
139,57
139,58
139,59
139,60
139,61
139,62
139,63
139,64
139,65
139,66
139,67
139,68
139,69
139,70
139,77
139,84
139,91
139,98
139,105
139,112
139,119
139,126
139,133
139,140
46,36
46,37
46,38
46,39
46,40
46,42
46,43
46,44
46,45
46,46
46,47
46,49
46,50
46,51
46,52
46,53
46,54
46,56
46,57
46,58
46,59
46,60
46,61
46,63
46,64
46,65
46,66
46,67
46,68
46,70
46,77
46,84
46,91
46,98
46,105
46,112
46,119
46,126
46,133
46,140
68,36
68,37
68,38
68,39
68,40
68,41
68,42
68,43
68,44
68,45
68,46
68,47
68,48
68,49
68,50
68,51
68,52
68,53
68,54
68,55
68,56
68,57
68,58
68,59
68,60
68,61
68,62
68,63
68,64
68,65
68,66
68,67
68,68
68,69
68,70
68,77
68,84
68,91
68,98
68,105
68,112
68,119
68,126
68,133
68,140
68,36
68,37
68,38
68,39
68,40
68,41
68,42
68,43
68,44
68,45
68,46
68,47
68,48
68,49
68,50
68,51
68,52
68,53
68,54
68,55
68,56
68,57
68,58
68,59
68,60
68,61
68,62
68,63
68,64
68,65
68,66
68,67
68,68
68,69
68,70
68,77
68,84
68,91
68,98
68,105
68,112
68,119
68,126
68,133
68,140
68,36
68,37
68,38
68,39
68,40
68,41
68,42
68,43
68,44
68,45
68,46
68,47
68,48
68,49
68,50
68,51
68,52
68,53
68,54
68,55
68,56
68,57
68,58
68,59
68,60
68,61
68,62
68,63
68,64
68,65
68,66
68,67
68,68
68,69
68,70
68,77
68,84
68,91
68,98
68,105
68,112
68,119
68,126
68,133
68,140
8,36
8,37
8,38
8,39
8,40
8,41
8,42
8,43
8,44
8,45
8,46
8,47
8,48
8,49
8,50
8,51
8,52
8,53
8,54
8,55
8,56
8,57
8,58
8,59
8,60
8,61
8,62
8,63
8,64
8,65
8,66
8,67
8,68
8,69
8,70
8,77
8,84
8,91
8,98
8,105
8,112
8,119
8,126
8,133
8,140
164,36
164,37
164,38
164,39
164,40
164,41
164,42
164,43
164,44
164,45
164,46
164,47
164,48
164,49
164,50
164,51
164,52
164,53
164,54
164,55
164,56
164,57
164,58
164,59
164,60
164,61
164,62
164,63
164,64
164,65
164,66
164,67
164,68
164,69
164,70
164,77
164,84
164,91
164,98
164,105
164,112
164,119
164,126
164,133
164,140
95,36
95,37
95,38
95,39
95,40
95,42
95,43
95,44
95,45
95,46
95,47
95,49
95,50
95,51
95,52
95,53
95,54
95,56
95,57
95,58
95,59
95,60
95,61
95,63
95,64
95,65
95,66
95,67
95,68
95,70
95,77
95,84
95,91
95,98
95,105
95,112
95,119
95,126
95,133
95,140
124,36
124,37
124,38
124,39
124,40
124,42
124,43
124,44
124,45
124,46
124,47
124,49
124,50
124,51
124,52
124,53
124,54
124,56
124,57
124,58
124,59
124,60
124,61
124,63
124,64
124,65
124,66
124,67
124,68
124,70
124,77
124,84
124,91
124,98
124,105
124,112
124,119
124,126
124,133
124,140
226,36
226,37
226,38
226,39
226,40
226,41
226,42
226,43
226,44
226,45
226,46
226,47
226,48
226,49
226,50
226,51
226,52
226,53
226,54
226,55
226,56
226,57
226,58
226,59
226,60
226,61
226,62
226,63
226,64
226,65
226,66
226,67
226,68
226,69
226,70
226,77
226,84
226,91
226,98
226,105
226,112
226,119
226,126
226,133
226,140
158,36
158,37
158,38
158,39
158,40
158,41
158,42
158,43
158,44
158,45
158,46
158,47
158,48
158,49
158,50
158,51
158,52
158,53
158,54
158,55
158,56
158,57
158,58
158,59
158,60
158,61
158,62
158,63
158,64
158,65
158,66
158,67
158,68
158,69
158,70
158,77
158,84
158,91
158,98
158,105
158,112
158,119
158,126
158,133
158,140
251,36
251,37
251,38
251,39
251,40
251,41
251,42
251,43
251,44
251,45
251,46
251,47
251,48
251,49
251,50
251,51
251,52
251,53
251,54
251,55
251,56
251,57
251,58
251,59
251,60
251,61
251,62
251,63
251,64
251,65
251,66
251,67
251,68
251,69
251,70
251,77
251,84
251,91
251,98
251,105
251,112
251,119
251,126
251,133
251,140
22,36
22,37
22,38
22,39
22,40
22,41
22,42
22,43
22,44
22,45
22,46
22,47
22,48
22,49
22,50
22,51
22,52
22,53
22,54
22,55
22,56
22,57
22,58
22,59
22,60
22,61
22,62
22,63
22,64
22,65
22,66
22,67
22,68
22,69
22,70
22,77
22,84
22,91
22,98
22,105
22,112
22,119
22,126
22,133
22,140
173,36
173,37
173,38
173,39
173,40
173,41
173,42
173,43
173,44
173,45
173,46
173,47
173,48
173,49
173,50
173,51
173,52
173,53
173,54
173,55
173,56
173,57
173,58
173,59
173,60
173,61
173,62
173,63
173,64
173,65
173,66
173,67
173,68
173,69
173,70
173,77
173,84
173,91
173,98
173,105
173,112
173,119
173,126
173,133
173,140
168,36
168,37
168,38
168,39
168,40
168,42
168,43
168,44
168,45
168,46
168,47
168,49
168,50
168,51
168,52
168,53
168,54
168,56
168,57
168,58
168,59
168,60
168,61
168,63
168,64
168,65
168,66
168,67
168,68
168,70
168,77
168,84
168,91
168,98
168,105
168,112
168,119
168,126
168,133
168,140
228,36
228,37
228,38
228,39
228,40
228,41
228,42
228,43
228,44
228,45
228,46
228,47
228,48
228,49
228,50
228,51
228,52
228,53
228,54
228,55
228,56
228,57
228,58
228,59
228,60
228,61
228,62
228,63
228,64
228,65
228,66
228,67
228,68
228,69
228,70
228,77
228,84
228,91
228,98
228,105
228,112
228,119
228,126
228,133
228,140
174,36
174,37
174,38
174,39
174,40
174,41
174,42
174,43
174,44
174,45
174,46
174,47
174,48
174,49
174,50
174,51
174,52
174,53
174,54
174,55
174,56
174,57
174,58
174,59
174,60
174,61
174,62
174,63
174,64
174,65
174,66
174,67
174,68
174,69
174,70
174,77
174,84
174,91
174,98
174,105
174,112
174,119
174,126
174,133
174,140
224,36
224,37
224,38
224,39
224,40
224,41
224,42
224,43
224,44
224,45
224,46
224,47
224,48
224,49
224,50
224,51
224,52
224,53
224,54
224,55
224,56
224,57
224,58
224,59
224,60
224,61
224,62
224,63
224,64
224,65
224,66
224,67
224,68
224,69
224,70
224,77
224,84
224,91
224,98
224,105
