capacity_type,unit_capacity,item_code
Dl,0.0,4073
Rate,0.0,4073
Pcs,1.0,4073
Point,0.0,4073
Dl,0.0,810
Rate,0.0,810
Pcs,1.0,810
Point,0.0,810
Dl,0.0,3939
Rate,0.0,3939
Pcs,1.0,3939
Point,0.0,3939
Dl,0.0,4059
Rate,0.0,4059
Pcs,1.0,4059
Point,0.0,4059
Dl,0.0,3941
Rate,0.0,3941
Pcs,1.0,3941
Point,0.0,3941
Dl,0.0,4061
Rate,0.0,4061
Pcs,1.0,4061
Point,0.0,4061
Dl,0.0,4063
Rate,0.0,4063
Pcs,1.0,4063
Point,0.0,4063
Dl,0.0,4065
Rate,0.0,4065
Pcs,1.0,4065
Point,0.0,4065
Dl,0.0,820
Rate,0.0,820
Pcs,1.0,820
Point,0.0,820
Dl,0.0,141
Rate,0.0,141
Pcs,1.0,141
Point,0.0,141
Dl,0.0,143
Rate,0.0,143
Pcs,1.0,143
Point,0.0,143
Dl,0.0,3944
Rate,0.0,3944
Pcs,1.0,3944
Point,0.0,3944
Dl,0.0,103
Rate,0.0,103
Pcs,1.0,103
Point,0.0,103
Dl,0.0,587
Rate,0.0,587
Pcs,1.0,587
Point,7987.0,587
Dl,0.0,258
Rate,0.0,258
Pcs,1.0,258
Point,0.0,258
Dl,0.0,185
Rate,0.0,185
Pcs,1.0,185
Point,0.0,185
Dl,0.0,187
Rate,0.0,187
Pcs,1.0,187
Point,0.0,187
Dl,0.0,189
Rate,0.0,189
Pcs,1.0,189
Point,0.0,189
Dl,0.0,191
Rate,0.0,191
Pcs,1.0,191
Point,0.0,191
Dl,0.0,4025
Rate,0.0,4025
Pcs,1.0,4025
Point,0.0,4025
Dl,0.0,4027
Rate,0.0,4027
Pcs,1.0,4027
Point,0.0,4027
Dl,0.0,113
Rate,0.0,113
Pcs,1.0,113
Point,0.0,113
Dl,0.0,4029
Rate,0.0,4029
Pcs,1.0,4029
Point,0.0,4029
Dl,0.0,4077
Rate,0.0,4077
Pcs,1.0,4077
Point,0.0,4077
Dl,0.0,201
Rate,0.0,201
Pcs,1.0,201
Point,0.0,201
Dl,0.0,208
Rate,0.0,208
Pcs,1.0,208
Point,0.0,208
Dl,0.0,210
Rate,0.0,210
Pcs,1.0,210
