set,period,plant,line,shift,i_shift,capacity_type,work_day,max_capacity
0,36,72,,1.0,1,Pcs,1.0,60.0
0,36,72,,1.0,1,Pcs,1.0,60.0
0,37,72,,1.0,1,Pcs,1.0,60.0
0,37,72,,1.0,1,Pcs,1.0,60.0
0,38,72,,1.0,1,Pcs,1.0,60.0
0,38,72,,1.0,1,Pcs,1.0,60.0
0,39,72,,1.0,1,Pcs,1.0,60.0
0,39,72,,1.0,1,Pcs,1.0,60.0
0,40,72,,1.0,1,Pcs,1.0,20.0
0,40,72,,1.0,1,Pcs,1.0,20.0
0,41,72,,1.0,1,Pcs,1.0,60.0
0,41,72,,1.0,1,Pcs,1.0,60.0
0,42,72,,1.0,1,Pcs,1.0,60.0
0,42,72,,1.0,1,Pcs,1.0,60.0
0,43,72,,1.0,1,Pcs,1.0,60.0
0,43,72,,1.0,1,Pcs,1.0,60.0
0,44,72,,1.0,1,Pcs,1.0,60.0
0,44,72,,1.0,1,Pcs,1.0,60.0
0,45,72,,1.0,1,Pcs,1.0,60.0
0,45,72,,1.0,1,Pcs,1.0,60.0
0,46,72,,1.0,1,Pcs,1.0,60.0
0,46,72,,1.0,1,Pcs,1.0,60.0
0,47,72,,1.0,1,Pcs,1.0,60.0
0,47,72,,1.0,1,Pcs,1.0,60.0
0,48,72,,1.0,1,Pcs,1.0,60.0
0,48,72,,1.0,1,Pcs,1.0,60.0
0,49,72,,1.0,1,Pcs,1.0,60.0
0,49,72,,1.0,1,Pcs,1.0,60.0
0,50,72,,1.0,1,Pcs,1.0,60.0
0,50,72,,1.0,1,Pcs,1.0,60.0
0,51,72,,1.0,1,Pcs,1.0,60.0
0,51,72,,1.0,1,Pcs,1.0,60.0
0,52,72,,1.0,1,Pcs,1.0,60.0
0,52,72,,1.0,1,Pcs,1.0,60.0
0,53,72,,1.0,1,Pcs,1.0,60.0
0,53,72,,1.0,1,Pcs,1.0,60.0
0,54,72,,1.0,1,Pcs,1.0,60.0
0,54,72,,1.0,1,Pcs,1.0,60.0
0,55,72,,1.0,1,Pcs,1.0,60.0
0,55,72,,1.0,1,Pcs,1.0,60.0
0,56,72,,1.0,1,Pcs,1.0,60.0
0,56,72,,1.0,1,Pcs,1.0,60.0
0,57,72,,1.0,1,Pcs,1.0,60.0
0,57,72,,1.0,1,Pcs,1.0,60.0
0,58,72,,1.0,1,Pcs,1.0,60.0
0,58,72,,1.0,1,Pcs,1.0,60.0
0,59,72,,1.0,1,Pcs,1.0,60.0
0,59,72,,1.0,1,Pcs,1.0,60.0
0,60,72,,1.0,1,Pcs,1.0,60.0
0,60,72,,1.0,1,Pcs,1.0,60.0
0,61,72,,1.0,1,Pcs,1.0,60.0
0,61,72,,1.0,1,Pcs,1.0,60.0
0,62,72,,1.0,1,Pcs,1.0,60.0
0,62,72,,1.0,1,Pcs,1.0,60.0
0,63,72,,1.0,1,Pcs,1.0,60.0
0,63,72,,1.0,1,Pcs,1.0,60.0
0,64,72,,1.0,1,Pcs,1.0,60.0
0,64,72,,1.0,1,Pcs,1.0,60.0
0,65,72,,1.0,1,Pcs,1.0,60.0
0,65,72,,1.0,1,Pcs,1.0,60.0
0,66,72,,1.0,1,Pcs,1.0,60.0
0,66,72,,1.0,1,Pcs,1.0,60.0
0,67,72,,1.0,1,Pcs,1.0,60.0
0,67,72,,1.0,1,Pcs,1.0,60.0
0,68,72,,1.0,1,Pcs,1.0,60.0
0,68,72,,1.0,1,Pcs,1.0,60.0
0,69,72,,1.0,1,Pcs,1.0,60.0
