avail_period,plant,qty,item_code
36,72,23.0,46
36,138,72.0,54
38,56,154780.0,54
38,138,133597.0,54
39,138,344.0,54
40,138,44904.0,54
42,138,105245.0,54
45,138,112896.0,54
47,138,169344.0,54
61,56,70560.0,54
63,138,244608.0,54
65,138,94080.0,54
67,138,94080.0,54
68,138,169344.0,54
69,138,94080.0,54
70,138,752640.0,54
77,138,473616.0,54
36,18,40.0,69
36,127,540.0,75
77,72,1.0,75
36,46,4.0,97
44,46,1000.0,97
51,46,150.0,97
91,46,44.0,97
98,46,46.0,97
36,261,6.0,106
42,261,29.0,106
46,261,720.0,106
50,261,360.0,106
36,46,44.0,110
36,80,1326.0,110
36,181,397.0,110
36,261,69.0,110
37,46,136.0,110
37,80,1000.0,110
37,181,100.0,110
39,46,3000.0,110
39,80,1000.0,110
40,46,2000.0,110
40,80,2000.0,110
40,181,200.0,110
41,80,1000.0,110
41,261,1000.0,110
42,46,1000.0,110
42,261,2000.0,110
43,46,2000.0,110
43,80,2000.0,110
43,261,1000.0,110
44,46,1027.0,110
44,80,2000.0,110
44,181,1008.0,110
44,261,2000.0,110
45,46,1000.0,110
45,80,1000.0,110
45,181,1000.0,110
45,261,1000.0,110
46,46,1000.0,110
46,80,1000.0,110
46,261,1000.0,110
47,46,2000.0,110
47,80,1000.0,110
47,181,1000.0,110
48,80,1000.0,110
48,261,1000.0,110
49,80,1000.0,110
50,46,1000.0,110
50,80,2000.0,110
51,46,1000.0,110
51,80,1000.0,110
52,46,1000.0,110
52,80,1000.0,110
53,46,2000.0,110
53,80,1000.0,110
54,46,1000.0,110
54,80,1000.0,110
66,261,60.0,110
70,181,5.0,110
91,46,6.0,110
98,46,2.0,110
98,181,4.0,110
98,261,8.0,110
105,181,8.0,110
105,261,6.0,110
36,46,300.0,111
36,181,1470.0,111
37,181,9.0,111
44,46,1200.0,111
44,181,14.0,111
51,181,528.0,111
60,181,600.0,111
77,181,3.0,111
91,46,49.0,111
91,181,56.0,111
105,181,4.0,111
36,14,2.0,137
37,14,1227.0,137
38,14,2400.0,137
39,14,1210.0,137
42,133,100.0,137
36,181,153.0,144
37,181,8.0,144
40,181,300.0,144
51,181,300.0,144
52,181,150.0,144
53,181,300.0,144
36,69,16.0,194
40,69,10.0,194
36,70,5.0,198
42,70,3.0,198
