qty,plant,assembly,component
2.0,62,4081,3895
2.0,211,4080,3895
2.0,62,4076,3895
2.0,211,4072,3895
2.0,211,4063,3895
2.0,211,4062,3895
2.0,211,4060,3895
2.0,62,4059,3895
2.0,62,4058,3895
2.0,62,4047,3895
2.0,62,4046,3895
2.0,62,4037,3895
2.0,210,4035,3895
2.0,210,4034,3895
2.0,210,4033,3895
2.0,210,4032,3895
2.0,210,4031,3895
2.0,210,4030,3895
2.0,61,4015,3895
2.0,61,4014,3895
2.0,61,3974,3895
2.0,210,3957,3895
2.0,61,3957,3895
2.0,153,3948,3895
2.0,150,3948,3895
4.0,62,4081,3888
2.0,61,3979,3888
2.0,61,3974,3888
2.0,61,3962,3888
2.0,61,3949,3888
2.0,61,3947,3888
2.0,61,3946,3888
2.0,61,3926,3888
2.0,61,3924,3888
2.0,61,3922,3888
2.0,60,3922,3888
2.0,61,3917,3888
1.0,62,4081,3870
1.0,211,4080,3870
1.0,211,4072,3870
1.0,211,4063,3870
1.0,211,4062,3870
1.0,211,4060,3870
1.0,62,4036,3870
1.0,210,4035,3870
1.0,210,4034,3870
1.0,210,4033,3870
1.0,210,4032,3870
1.0,210,4031,3870
1.0,210,4030,3870
1.0,62,4027,3870
1.0,62,4025,3870
1.0,62,4024,3870
1.0,62,4023,3870
1.0,62,4022,3870
1.0,62,4021,3870
1.0,62,4020,3870
1.0,62,4019,3870
1.0,62,4018,3870
1.0,61,3974,3870
1.0,210,3957,3870
1.0,61,3957,3870
1.0,62,4081,3735
1.0,211,4080,3735
1.0,62,4076,3735
1.0,211,4072,3735
1.0,62,4066,3735
1.0,62,4059,3735
1.0,62,4058,3735
1.0,62,4056,3735
1.0,62,4054,3735
1.0,62,4047,3735
1.0,62,4046,3735
1.0,62,4037,3735
1.0,62,4036,3735
1.0,210,4035,3735
1.0,210,4034,3735
1.0,210,4033,3735
1.0,210,4032,3735
1.0,210,4031,3735
1.0,210,4030,3735
1.0,61,4015,3735
1.0,61,4014,3735
1.0,62,4081,3667
2.0,211,4080,3667
2.0,211,4072,3667
2.0,211,4063,3667
2.0,211,4062,3667
2.0,211,4060,3667
2.0,210,4035,3667
2.0,210,4034,3667
2.0,210,4033,3667
2.0,210,4032,3667
2.0,210,4031,3667
2.0,210,4030,3667
4.0,70,446,3667
1.0,62,4081,3660
1.0,211,4080,3660
