item_code,period,order_demand,pre_demand
1,42,2,3
1,46,1,1
1,62,2,2
1,63,1,1
1,66,3,4
2,40,1,1
2,41,2,2
2,50,2,2
2,67,2,2
4,46,2,2
4,54,5,5
4,57,2,2
5,47,43,43
7,66,1,1
8,40,2,2
10,36,36,36
10,37,20,20
10,38,12,12
10,39,24,24
10,40,36,36
10,41,22,22
10,42,26,26
10,43,12,12
10,44,148,148
10,45,24,24
10,46,8,8
10,47,18,18
10,48,6,6
10,49,16,16
10,50,10,10
10,51,22,22
10,52,36,36
10,53,2,2
10,54,180,180
10,55,78,78
10,56,6,6
10,57,4,4
10,58,34,34
10,59,36,36
10,62,492,492
10,63,14,14
10,64,28,28
10,65,0,0
10,67,40,40
10,69,0,0
11,46,2,2
11,48,2,2
11,62,2,2
17,36,246,246
17,37,0,0
17,38,500,500
17,39,0,0
17,42,0,0
17,43,0,0
17,44,0,0
17,45,0,0
17,46,0,0
17,49,0,0
17,50,0,0
17,51,0,0
17,52,0,0
17,53,0,0
17,56,0,0
17,57,0,0
17,58,0,0
17,59,0,0
17,60,0,0
18,37,1,1
18,41,192,192
18,42,267,267
18,44,23,23
18,47,20,20
18,48,1497,1497
18,52,113,113
18,53,36,36
18,58,7,7
29,36,410,410
29,59,1630,1630
37,36,6,6
37,37,5,5
37,38,1,1
37,39,9,9
37,40,10,10
37,41,7,7
37,42,16,16
37,43,29,29
37,44,15,15
37,45,19,19
37,46,6,6
37,47,5,5
37,48,2,2
37,54,2,2
37,58,63,63
37,63,1,1
37,65,2,2
37,68,1,1
38,36,15,15
38,37,42,42
38,38,8,8
38,39,48,48
38,40,40,40
38,41,32,32
38,42,55,55
38,43,20,20
38,44,41,41
38,45,68,68
38,46,60,60
38,47,63,63
38,48,9,9
38,49,4,4
38,51,16,16
38,52,7,7
38,54,30,30
38,55,14,14
38,57,54,54
38,58,67,67
38,59,12,12
38,60,2,2
38,61,8,8
38,62,4,4
38,63,9,9
38,65,4,4
38,66,12,12
38,67,6,6
38,68,14,14
38,69,6,6
40,36,14,14
40,57,23,23
41,36,24,24
41,37,12,12
41,39,14,14
41,43,238,238
41,46,200,200
41,48,1,1
41,50,2,2
41,52,14,14
41,54,6,6
41,66,2,2
45,36,24,24
45,37,51,51
45,40,62,62
45,43,84,84
45,46,16,16
45,49,17,17
45,52,120,120
45,55,50,50
45,58,43,43
45,61,267,267
45,64,4,4
45,67,22,22
46,36,290,290
46,48,267,267
46,62,404,404
48,37,16,16
48,41,19,19
48,53,6,6
48,57,4,4
48,67,4,4
48,69,12,12
49,36,34,34
49,37,42,42
49,38,53,53
49,39,102,102
49,40,68,68
49,41,100,100
49,42,238,238
49,43,8,8
49,44,156,156
49,45,112,112
49,46,72,72
49,47,46,46
49,48,88,88
49,49,48,48
49,50,4,4
49,51,8,8
49,53,72,72
49,54,40,40
49,55,280,280
49,57,8,8
49,58,2,2
49,61,36,36
49,65,80,80
49,66,48,48
49,67,94,94
49,68,16,16
49,69,36,36
52,36,0,0
52,37,1778,1778
52,38,0,0
52,39,0,0
52,40,0,0
