plant,qty,item_code,pre_qty
78,3577,9446,3577
3,15,599,15
78,15000,2419,15000
3,479,4575,479
78,18,6777,18
3,260,12286,260
31,129,9452,129
115,24,8337,24
82,107,9116,107
115,4965,8075,4965
118,26287,8161,26287
31,7036,8928,7036
117,1653,2349,1653
12,10,6994,10
3,14805,8028,14805
118,767,7899,767
118,49898,8295,49898
36,220,8931,220
78,2.0,6856,18
31,223,9665,223
115,1110,8154,1110
31,56,9007,56
82,2400,9463,2400
34,680,10019,680
31,445,9141,445
115,42032,7892,42032
84,376,9246,376
34,1127,9757,1127
3,50111,8241,50111
118,7822,8112,7822
118,8122,8246,8122
78,90,10500,90
118,13069,7850,13069
108,15657,8971,15657
78,3,10238,3
78,4324800,9842,4324800
132,4183,10780,4183
78,53.0,6807,519
8,3936,8378,3936
111,1,9063,1
88,3492,9245,3492
115,34,11402,34
3,55200,8320,55200
31,15893,8958,15893
12,148,7420,148
115,2361,7843,2361
117,485,11453,485
34,533,9178,533
118,4284,7929,4284
118,2616,8063,2616
88,1611,9720,1611
139,866,9780,866
108,1934,8264,1934
78,258079,10055,258079
132,202,9939,202
115,1678,8318,1678
3,4224,8533,4224
115,36684,8056,36684
3,458,8667,458
108,26894,8739,26894
3,860,8009,860
118,4835,7880,4835
108,225,8873,225
118,1425,8014,1425
78,3,10268,3
78,3846423,9872,3846423
68,108,10469,108
115,5746,11566,5746
115,2140,8135,2140
3,5166,8746,5166
3,54467,8484,54467
58,1009,9067,1009
3,17422,8222,17422
118,38286,8093,38286
132,71588,8153,71588
111,12031,8514,12031
117,3012,8826,3012
3,0.0,2792,39
78,1334885,8086,1334885
3,804,8301,804
78,16011272,8220,16011272
78,3182300,7824,3182300
132,833,8762,833
3,297,8039,297
3,30,8435,30
78,41,10298,41
118,5541,8306,5541
132,5660,8104,5660
108,4816,8507,4816
16,18175,8058,18175
111,2977,8465,2977
115,449,9518,449
111,19224,8599,19224
34,11,7422,11
34,1,7556,1
78,351,2394,351
78,1501549,8299,1501549
12,59,11045,59
3,98262,8514,98262
78,314152,8037,314152
118,1125,8123,1125
78,71,10511,71
132,2940,8317,2940
84,13945,8215,13945
22,12463,8449,12463
117,210,9118,210
84,3237,10031,3237
78,920143,8512,920143
78,80364,8116,80364
78,278505,8250,278505
78,35367,7854,35367
3,50497,8465,50497
16,24867,8088,24867
132,3183,8530,3183
58,2765,8786,2765
82,322,11381,322
111,986,8891,986
22,31979,8266,31979
22,3705,8400,3705
88,8447,8128,8447
78,604972,11498,604972
78,1415396,8463,1415396
78,35643,8067,35643
78,2900048,8201,2900048
78,52,1900,52
78,212321,7805,212321
132,59724,8213,59724
132,3261,7951,3261
58,300,8603,300
115,173,9627,173
58,42296,8865,42296
115,1046,9761,1046
84,1001,8245,1001
22,19500,8613,19500
34,900,10834,900
22,2899,8217,2899
78,39,11711,39
3,1101,11530,1101
78,70,2375,70
78,4088203,8280,4088203
78,1059813,7884,1059813
3,348,11926,348
78,51158,8018,51158
132,2822,8164,2822
132,10477,8298,10477
84,933,8196,933
22,184377,8430,184377
22,1497,8034,1497
78,25,11790,25
78,5448,11924,5448
78,4000,11528,4000
117,2731,8837,2731
78,3855488,8493,3855488
78,4359065,8097,4359065
3,304,11877,304
78,58,2326,58
78,744216,8231,744216
132,1615,8377,1615
82,10236,8492,10236
84,3826,8275,3826
84,1851,8409,1851
22,3,11678,3
34,160,11260,160
115,232,9133,232
118,259,10011,259
118,1659,9749,1659
36,3240,8307,3240
22,14559,7985,14559
78,5,11741,5
78,0.0,2801,28
82,4613,8967,4613
22,31,11757,31
115,380,9742,380
84,1500,8226,1500
22,18530,8064,18530
36,1785,8520,1785
117,1306,9263,1306
78,4,11692,4
78,27440,11296,27440
111,1800,10121,1800
8,900,9832,900
82,840,8784,840
82,105,9180,105
82,4745,8918,4745
82,4395,8522,4395
31,192,8596,192
31,36667,8992,36667
88,3731,8808,3731
22,3,11708,3
84,1697,8043,1697
34,40413,8554,40413
36,1464,8471,1464
78,4,491,4
78,80,11771,80
132,4,12313,4
78,3113785,11905,3113785
78,1398,11509,1398
82,9356,8997,9356
31,10601,8413,10601
82,1594,8869,1594
78,1201,9510,1201
34,865,11241,865
78,211524,9248,211524
3,250,9463,250
132,5108,9790,5108
78,51412,11326,51412
27,2,2460,2
82,3266,8948,3266
84,5,12296,5
31,104637,8760,104637
31,11236,8364,11236
3,2360,7860,2360
22,30,11738,30
78,92839,9723,92839
3,41,9542,41
36,1716,8367,1716
88,87,11600,87
