item_type,holding_cost,asl,item_code,orig_item,penalty_cost
Raw Material,0.0,32,10588,10588,0.0
Raw Material,0.0,77,10615,10615,0.0
Raw Material,0.0,77,10615,10615,0.0
Raw Material,0.0,77,10615,10615,0.0
Raw Material,0.0,32,10684,10684,0.0
Order Only,0.0,30,931,931,0.0
Order Only,0.001,30,960,960,1.0
Type4 Component,0.002,30,1392,1392,2.0
Order Only,0.002,30,1655,1655,2.0
Order Only,0.002,30,1908,1908,2.0
Normal,0.0,30,2054,2054,0.0
Raw Material,0.0,47,2278,2278,0.0
Raw Material,0.0,47,2278,2278,0.0
Raw Material,0.0,82,2306,2306,0.0
Raw Material,0.0,82,2306,2306,0.0
Raw Material,0.0,82,2306,2306,0.0
Raw Material,0.0,82,2306,2306,0.0
Raw Material,0.0,52,2312,2312,0.0
Raw Material,0.0,52,2312,2312,0.0
Raw Material,0.0,52,2312,2312,0.0
Raw Material,0.0,52,2312,2312,0.0
Raw Material,0.0,77,2344,2344,0.0
Raw Material,0.0,77,2344,2344,0.0
Raw Material,0.0,62,2394,2394,0.0
Raw Material,0.0,62,2394,2394,0.0
Order Only,0.0,30,820,820,0.0
Raw Material,0.0,37,10061,10061,0.0
Raw Material,0.0,77,10078,10078,0.0
Raw Material,0.0,21,10193,10193,0.0
Raw Material,0.0,47,10542,10542,0.0
Raw Material,0.0,52,10569,10569,0.0
Raw Material,0.0,64,7492,7492,0.0
Raw Material,0.0,93,7500,7500,0.0
Raw Material,0.0,12,7585,7585,0.0
Normal,0.0,30,791,791,0.0
Order Only,0.001,30,1624,1624,1.0
Order Only,0.001,30,1661,1661,1.0
Order Only,0.003,30,1764,1764,3.0
Order Only,0.003,30,1764,1764,3.0
Order Only,0.003,30,1764,1764,3.0
Normal,0.002,30,1887,1887,2.0
Order Only,0.0,30,1921,1921,0.0
Order Only,0.001,30,1996,1996,1.0
Order Only,0.002,30,2103,2103,2.0
Raw Material,0.0,42,2456,2456,0.0
Raw Material,0.0,42,2456,2456,0.0
Normal,0.0,30,2750,2750,0.0
Normal,0.0,30,2750,2750,0.0
Raw Material,0.0,58,7491,7491,0.0
Raw Material,0.0,60,7513,7513,0.0
Raw Material,0.0,52,7597,7597,0.0
Raw Material,0.0,12,7613,7613,0.0
Raw Material,0.0,12,7613,7613,0.0
Raw Material,0.0,58,9469,9469,0.0
Raw Material,0.0,58,9533,9533,0.0
Raw Material,0.0,58,9533,9533,0.0
Raw Material,0.0,58,9533,9533,0.0
Raw Material,0.0,122,9550,9550,0.0
Raw Material,0.0,51,9850,9850,0.0
Raw Material,0.0,3,9908,9908,0.0
Raw Material,0.0,3,9908,9908,0.0
Raw Material,0.0,122,10004,10004,0.0
Raw Material,0.0,122,10026,10026,0.0
Raw Material,0.0,122,10044,10044,0.0
Raw Material,0.0,122,10044,10044,0.0
Raw Material,0.0,32,10147,10147,0.0
Raw Material,0.0,32,10172,10172,0.0
Raw Material,0.0,30,10250,10250,0.0
Raw Material,0.0,22,10371,10371,0.0
Raw Material,0.0,32,10493,10493,0.0
Raw Material,0.0,52,10514,10514,0.0
