alter_cost,multiplier,period,plant,priority_col,type,assembly,item_code1,item_code2
-1.0,1,23,50,2,alternate,46,2362,2363
-1.0,1,24,50,2,alternate,46,2362,2363
-1.0,1,25,50,2,alternate,46,2362,2363
-1.0,1,26,50,2,alternate,46,2362,2363
-1.0,1,27,50,2,alternate,46,2362,2363
-1.0,1,28,50,2,alternate,46,2362,2363
-1.0,1,29,50,2,alternate,46,2362,2363
-1.0,1,30,50,2,alternate,46,2362,2363
-1.0,1,31,50,2,alternate,46,2362,2363
-1.0,1,32,50,2,alternate,46,2362,2363
-1.0,1,33,50,2,alternate,46,2362,2363
-1.0,1,34,50,2,alternate,46,2362,2363
-1.0,1,35,50,2,alternate,46,2362,2363
-1.0,1,36,50,2,alternate,46,2362,2363
-1.0,1,37,50,2,alternate,46,2362,2363
-1.0,1,38,50,2,alternate,46,2362,2363
-1.0,1,39,50,2,alternate,46,2362,2363
-1.0,1,40,50,2,alternate,46,2362,2363
-1.0,1,41,50,2,alternate,46,2362,2363
-1.0,1,42,50,2,alternate,46,2362,2363
-1.0,1,43,50,2,alternate,46,2362,2363
-1.0,1,44,50,2,alternate,46,2362,2363
-1.0,1,45,50,2,alternate,46,2362,2363
-1.0,1,46,50,2,alternate,46,2362,2363
-1.0,1,47,50,2,alternate,46,2362,2363
-1.0,1,48,50,2,alternate,46,2362,2363
-1.0,1,49,50,2,alternate,46,2362,2363
-1.0,1,50,50,2,alternate,46,2362,2363
-1.0,1,51,50,2,alternate,46,2362,2363
-1.0,1,52,50,2,alternate,46,2362,2363
-1.0,1,53,50,2,alternate,46,2362,2363
-1.0,1,54,50,2,alternate,46,2362,2363
-1.0,1,55,50,2,alternate,46,2362,2363
-1.0,1,56,50,2,alternate,46,2362,2363
-1.0,1,63,50,2,alternate,46,2362,2363
-1.0,1,70,50,2,alternate,46,2362,2363
-1.0,1,23,50,2,alternate,46,2362,2363
-1.0,1,24,50,2,alternate,46,2362,2363
-1.0,1,25,50,2,alternate,46,2362,2363
-1.0,1,26,50,2,alternate,46,2362,2363
-1.0,1,27,50,2,alternate,46,2362,2363
-1.0,1,28,50,2,alternate,46,2362,2363
-1.0,1,29,50,2,alternate,46,2362,2363
-1.0,1,30,50,2,alternate,46,2362,2363
-1.0,1,31,50,2,alternate,46,2362,2363
-1.0,1,32,50,2,alternate,46,2362,2363
-1.0,1,33,50,2,alternate,46,2362,2363
-1.0,1,34,50,2,alternate,46,2362,2363
-1.0,1,35,50,2,alternate,46,2362,2363
-1.0,1,36,50,2,alternate,46,2362,2363
-1.0,1,37,50,2,alternate,46,2362,2363
-1.0,1,38,50,2,alternate,46,2362,2363
-1.0,1,39,50,2,alternate,46,2362,2363
-1.0,1,40,50,2,alternate,46,2362,2363
-1.0,1,41,50,2,alternate,46,2362,2363
-1.0,1,42,50,2,alternate,46,2362,2363
-1.0,1,43,50,2,alternate,46,2362,2363
-1.0,1,44,50,2,alternate,46,2362,2363
-1.0,1,45,50,2,alternate,46,2362,2363
-1.0,1,46,50,2,alternate,46,2362,2363
-1.0,1,47,50,2,alternate,46,2362,2363
-1.0,1,48,50,2,alternate,46,2362,2363
-1.0,1,49,50,2,alternate,46,2362,2363
-1.0,1,50,50,2,alternate,46,2362,2363
-1.0,1,51,50,2,alternate,46,2362,2363
-1.0,1,52,50,2,alternate,46,2362,2363
-1.0,1,53,50,2,alternate,46,2362,2363
-1.0,1,54,50,2,alternate,46,2362,2363
-1.0,1,55,50,2,alternate,46,2362,2363
-1.0,1,56,50,2,alternate,46,2362,2363
-1.0,1,63,50,2,alternate,46,2362,2363
-1.0,1,70,50,2,alternate,46,2362,2363
-1.0,1,23,50,2,alternate,46,2362,2363
-1.0,1,24,50,2,alternate,46,2362,2363
-1.0,1,25,50,2,alternate,46,2362,2363
-1.0,1,26,50,2,alternate,46,2362,2363
-1.0,1,27,50,2,alternate,46,2362,2363
-1.0,1,28,50,2,alternate,46,2362,2363
-1.0,1,29,50,2,alternate,46,2362,2363
-1.0,1,30,50,2,alternate,46,2362,2363
