item_type,holding_cost,asl,item_code,orig_item,penalty_cost
Forecast Component,0.001,30,51,51,1.0
Forecast Component,0.001,30,52,52,1.0
Forecast Component,0.002,30,54,54,2.0
Forecast Component,0.002,30,54,54,2.0
Forecast Component,0.002,30,54,54,2.0
Forecast Component,0.002,30,54,54,2.0
Forecast Component,0.002,30,54,54,2.0
Forecast Component,0.002,30,55,55,2.0
Forecast Component,0.002,30,55,55,2.0
Forecast Component,0.002,30,55,55,2.0
Forecast Component,0.002,30,55,55,2.0
Forecast Component,0.002,30,56,56,2.0
Forecast Component,0.001,30,120,120,1.0
Forecast Component,0.001,30,91,91,1.0
Forecast Component,0.001,30,91,91,1.0
Forecast Component,0.001,30,69,69,1.0
Forecast Component,0.001,30,44,44,1.0
Forecast Component,0.001,30,44,44,1.0
Forecast Component,0.001,30,44,44,1.0
Forecast Component,0.001,30,46,46,1.0
Normal,0.001,30,46,46,1.0
Forecast Component,0.001,30,46,46,1.0
Forecast Component,0.001,30,46,46,1.0
Forecast Component,0.001,30,46,46,1.0
Forecast Component,0.001,30,46,46,1.0
Forecast Component,0.001,30,47,47,1.0
Normal,0.001,30,47,47,1.0
Forecast Component,0.001,30,47,47,1.0
Forecast Component,0.001,30,47,47,1.0
Forecast Component,0.001,30,47,47,1.0
Forecast Component,0.001,30,48,48,1.0
Forecast Component,0.001,30,48,48,1.0
Forecast Component,0.001,30,48,48,1.0
Forecast Component,0.002,30,49,49,2.0
Raw Material,0.0,360,3606,3606,0.0
Raw Material,0.0,44,854,854,0.0
Raw Material,0.0,360,3936,3936,0.0
Raw Material,0.0,360,4036,4036,0.0
Raw Material,0.0,360,3006,3006,0.0
Raw Material,0.0,360,3968,3968,0.0
Raw Material,0.0,360,3750,3750,0.0
Raw Material,0.0,296,3701,3701,0.0
Raw Material,0.0,360,3911,3911,0.0
Raw Material,0.0,360,3966,3966,0.0
Order Only,0.001,30,881,881,1.0
Order Only,0.001,30,883,883,1.0
Order Only,0.0,30,4133,4133,0.0
Order Only,0.001,30,886,886,1.0
Order Only,0.002,30,889,889,2.0
Order Only,0.0,30,221,221,0.0
Order Only,0.001,30,896,896,1.0
Order Only,0.001,30,898,898,1.0
Order Only,0.001,30,900,900,1.0
Normal,0.004,30,608,608,4.0
Type4 Component,0.003,30,594,594,3.0
Order Only,0.0,30,208,208,0.0
Order Only,0.002,30,210,210,2.0
Order Only,0.0,30,212,212,0.0
Order Only,0.0,30,214,214,0.0
Order Only,0.0,30,122,122,0.0
Order Only,0.003,30,174,174,3.0
Order Only,0.003,30,174,174,3.0
Normal,0.0,30,176,176,0.0
Order Only,0.003,30,178,178,3.0
Order Only,0.003,30,178,178,3.0
Order Only,0.0,30,180,180,0.0
Normal,0.002,30,184,184,2.0
Order Only,0.002,30,117,117,2.0
Order Only,0.0,30,633,633,0.0
Type4 Component,0.003,30,596,596,3.0
Type4 Component,0.003,30,598,598,3.0
Order Only,0.0,30,619,619,0.0
Order Only,0.002,30,798,798,2.0
Order Only,0.0,30,800,800,0.0
Order Only,0.0,30,199,199,0.0
Order Only,0.0,30,201,201,0.0
Type4 Component,0.001,30,218,218,1.0
Normal,0.0,30,158,158,0.0
Order Only,0.002,30,765,765,2.0
Normal,0.0,30,150,150,0.0
Order Only,0.004,30,775,775,4.0
Order Only,0.001,30,902,902,1.0
Order Only,0.002,30,781,781,2.0
Order Only,0.004,30,783,783,4.0
Order Only,0.002,30,785,785,2.0
Order Only,0.004,30,287,287,4.0
Normal,0.0,30,261,261,0.0
Normal,0.0,30,267,267,0.0
Normal,0.001,30,863,863,1.0
Normal,0.002,30,250,250,2.0
Order Only,0.002,30,906,906,2.0
Type4 Component,0.001,30,295,295,1.0
Normal,0.0,30,152,152,0.0
Normal,0.0,30,154,154,0.0
Normal,0.0,30,238,238,0.0
Normal,0.0,30,240,240,0.0
Order Only,0.0,30,167,167,0.0
Normal,0.0,30,135,135,0.0
Normal,0.003,30,581,581,3.0
Normal,0.003,30,581,581,3.0
Type4 Component,0.002,30,72,72,2.0
Type4 Component,0.002,30,74,74,2.0
Normal,0.004,30,604,604,4.0
Order Only,0.0,30,4119,4119,0.0
Normal,0.0,30,263,263,0.0
Normal,0.002,30,255,255,2.0
Normal,0.0,30,265,265,0.0
Normal,0.004,30,269,269,4.0
Order Only,0.0,30,289,289,0.0
Order Only,0.004,30,291,291,4.0
Order Only,0.004,30,291,291,4.0
Order Only,0.0,30,293,293,0.0
Type4 Component,0.0,30,534,534,0.0
Type4 Component,0.0,30,534,534,0.0
Type4 Component,0.001,30,537,537,1.0
Type4 Component,0.001,30,537,537,1.0
Type4 Component,0.001,30,539,539,1.0
Type4 Component,0.001,30,539,539,1.0
Normal,0.0,30,102,102,0.0
Normal,0.002,30,104,104,2.0
Order Only,0.002,30,106,106,2.0
Order Only,0.0,30,4125,4125,0.0
Normal,0.004,30,271,271,4.0
Order Only,0.004,30,767,767,4.0
Order Only,0.0,30,4127,4127,0.0
Order Only,0.0,30,108,108,0.0
Normal,0.0,30,631,631,0.0
Order Only,0.004,30,790,790,4.0
Order Only,0.004,30,792,792,4.0
Order Only,0.002,30,794,794,2.0
Order Only,0.002,30,796,796,2.0
Normal,0.001,30,865,865,1.0
Normal,0.001,30,617,617,1.0
Order Only,0.0,30,566,566,0.0
Order Only,0.0,30,837,837,0.0
Order Only,0.003,30,868,868,3.0
Order Only,0.003,30,871,871,3.0
Order Only,0.004,30,275,275,4.0
Normal,0.0,30,277,277,0.0
Normal,0.0,30,279,279,0.0
Order Only,0.0,30,281,281,0.0
Normal,0.0,30,283,283,0.0
Order Only,0.0,30,4145,4145,0.0
Type4 Component,0.003,30,186,186,3.0
Normal,0.003,30,190,190,3.0
Normal,0.003,30,194,194,3.0
Order Only,0.0,30,4105,4105,0.0
Normal,0.0,30,129,129,0.0
Order Only,0.001,30,877,877,1.0
Order Only,0.001,30,879,879,1.0
Raw Material,0.0,32,3136,3136,0.0
Order Only,0.0,30,4183,4183,0.0
Raw Material,0.0,37,2611,2611,0.0
Raw Material,0.0,61,693,693,0.0
Order Only,0.0,30,3854,3854,0.0
Raw Material,0.0,32,3474,3474,0.0
Raw Material,0.0,360,3943,3943,0.0
Raw Material,0.0,32,3424,3424,0.0
Raw Material,0.0,32,3424,3424,0.0
Raw Material,0.0,32,3424,3424,0.0
Raw Material,0.0,22,3384,3384,0.0
Order Only,0.0,30,4067,4067,0.0
Order Only,0.0,30,3855,3855,0.0
Raw Material,0.0,22,3387,3387,0.0
Raw Material,0.0,27,3376,3376,0.0
Raw Material,0.0,27,3376,3376,0.0
Raw Material,0.0,27,3376,3376,0.0
Order Only,0.0,30,3986,3986,0.0
Raw Material,0.0,22,4172,4172,0.0
Raw Material,0.0,22,4172,4172,0.0
Raw Material,0.0,22,4172,4172,0.0
Raw Material,0.0,32,4156,4156,0.0
Raw Material,0.0,27,3465,3465,0.0
Raw Material,0.0,92,2503,2503,0.0
Raw Material,0.0,22,3383,3383,0.0
Raw Material,0.0,22,3383,3383,0.0
Raw Material,0.0,22,3383,3383,0.0
Order Only,0.0,30,810,810,0.0
Raw Material,0.0,32,3394,3394,0.0
Order Only,0.0,30,3924,3924,0.0
Raw Material,0.0,37,3460,3460,0.0
Order Only,0.0,30,3995,3995,0.0
Order Only,0.0,30,2787,2787,0.0
Raw Material,0.0,27,3377,3377,0.0
Raw Material,0.0,27,3377,3377,0.0
Raw Material,0.0,27,3377,3377,0.0
Raw Material,0.0,52,691,691,0.0
Raw Material,0.0,52,691,691,0.0
Raw Material,0.0,37,2612,2612,0.0
Order Only,0.0,30,3981,3981,0.0
Order Only,0.0,30,3899,3899,0.0
Order Only,0.0,30,3485,3485,0.0
Raw Material,0.0,92,2644,2644,0.0
Raw Material,0.0,32,3393,3393,0.0
Raw Material,0.0,44,3386,3386,0.0
Order Only,0.0,30,3643,3643,0.0
Raw Material,0.0,92,3378,3378,0.0
Raw Material,0.0,92,3378,3378,0.0
Raw Material,0.0,92,3378,3378,0.0
Order Only,0.0,30,840,840,0.0
Raw Material,0.0,32,3429,3429,0.0
Order Only,0.0,30,831,831,0.0
Order Only,0.0,30,3984,3984,0.0
Raw Material,0.0,32,3397,3397,0.0
Raw Material,0.0,51,646,646,0.0
Raw Material,0.0,37,721,721,0.0
Raw Material,0.0,27,3380,3380,0.0
Raw Material,0.0,27,3380,3380,0.0
Raw Material,0.0,27,3380,3380,0.0
Order Only,0.0,30,3927,3927,0.0
Raw Material,0.0,37,3162,3162,0.0
Order Only,0.0,30,3905,3905,0.0
Raw Material,0.0,17,3407,3407,0.0
Order Only,0.0,30,833,833,0.0
Order Only,0.0,30,4011,4011,0.0
Raw Material,0.0,51,732,732,0.0
Raw Material,0.0,27,3381,3381,0.0
Raw Material,0.0,52,3396,3396,0.0
Raw Material,0.0,52,3396,3396,0.0
Raw Material,0.0,52,3396,3396,0.0
Order Only,0.0,30,835,835,0.0
Order Only,0.0,30,3831,3831,0.0
Raw Material,0.0,44,648,648,0.0
Order Only,0.0,30,3944,3944,0.0
Raw Material,0.0,32,3439,3439,0.0
Order Only,0.0,30,813,813,0.0
Raw Material,0.0,32,3399,3399,0.0
Raw Material,0.0,37,652,652,0.0
Raw Material,0.0,22,3388,3388,0.0
Order Only,0.0,30,761,761,0.0
Order Only,0.0,30,817,817,0.0
Raw Material,0.0,22,3385,3385,0.0
Raw Material,0.0,92,18,18,0.0
Raw Material,0.0,32,3423,3423,0.0
Raw Material,0.0,32,3406,3406,0.0
Raw Material,0.0,37,3461,3461,0.0
Order Only,0.0,30,808,808,0.0
Order Only,0.0,30,3938,3938,0.0
Raw Material,0.0,32,3398,3398,0.0
Order Only,0.0,30,3970,3970,0.0
Raw Material,0.0,32,3475,3475,0.0
Raw Material,0.0,32,3137,3137,0.0
Raw Material,0.0,32,3434,3434,0.0
Order Only,0.0,30,3782,3782,0.0
Order Only,0.0,30,3866,3866,0.0
Raw Material,0.0,47,659,659,0.0
Raw Material,0.0,32,3469,3469,0.0
Raw Material,0.0,58,2710,2710,0.0
Raw Material,0.0,58,2710,2710,0.0
Raw Material,0.0,58,2710,2710,0.0
Raw Material,0.0,122,3727,3727,0.0
Order Only,0.001,30,880,880,1.0
Raw Material,0.0,122,2334,2334,0.0
Order Only,0.0,30,125,125,0.0
Raw Material,0.0,100,1947,1947,0.0
Raw Material,0.0,100,1947,1947,0.0
Raw Material,0.0,122,2335,2335,0.0
Raw Material,0.0,102,2223,2223,0.0
Raw Material,0.0,102,2223,2223,0.0
Raw Material,0.0,102,2223,2223,0.0
Order Only,0.001,30,882,882,1.0
Raw Material,0.0,92,1523,1523,0.0
Raw Material,0.0,122,2425,2425,0.0
Order Only,0.0,30,4132,4132,0.0
Raw Material,0.0,62,3263,3263,0.0
Raw Material,0.0,86,4177,4177,0.0
Raw Material,0.0,92,2767,2767,0.0
Raw Material,0.0,92,2767,2767,0.0
Raw Material,0.0,92,2767,2767,0.0
Raw Material,0.0,92,1360,1360,0.0
Raw Material,0.0,47,707,707,0.0
Raw Material,0.0,87,1071,1071,0.0
Raw Material,0.0,87,1071,1071,0.0
Raw Material,0.0,62,2554,2554,0.0
Raw Material,0.0,44,2627,2627,0.0
Raw Material,0.0,114,1966,1966,0.0
Raw Material,0.0,114,1966,1966,0.0
Raw Material,0.0,114,1966,1966,0.0
Raw Material,0.0,32,3253,3253,0.0
Raw Material,0.0,86,2199,2199,0.0
Raw Material,0.0,30,3633,3633,0.0
Raw Material,0.0,72,2513,2513,0.0
Raw Material,0.0,87,1532,1532,0.0
Raw Material,0.0,87,1532,1532,0.0
Raw Material,0.0,87,1532,1532,0.0
Raw Material,0.0,91,1900,1900,0.0
Raw Material,0.0,91,1900,1900,0.0
Raw Material,0.0,91,1900,1900,0.0
Raw Material,0.0,162,1815,1815,0.0
Raw Material,0.0,58,2514,2514,0.0
Raw Material,0.0,302,884,884,0.0
Raw Material,0.0,120,2181,2181,0.0
Order Only,0.001,30,4141,4141,1.0
Raw Material,0.0,152,1790,1790,0.0
Raw Material,0.0,92,1143,1143,0.0
Raw Material,0.0,120,2051,2051,0.0
Raw Material,0.0,120,2051,2051,0.0
Raw Material,0.0,120,2051,2051,0.0
Raw Material,0.0,92,1803,1803,0.0
Raw Material,0.0,120,1902,1902,0.0
Order Only,0.001,30,885,885,1.0
Raw Material,0.0,302,887,887,0.0
Raw Material,0.0,32,3187,3187,0.0
Raw Material,0.0,92,2569,2569,0.0
Raw Material,0.0,92,2569,2569,0.0
Raw Material,0.0,92,2569,2569,0.0
Raw Material,0.0,122,2377,2377,0.0
Raw Material,0.0,92,2188,2188,0.0
Raw Material,0.0,122,2378,2378,0.0
Raw Material,0.0,120,1938,1938,0.0
Raw Material,0.0,120,1938,1938,0.0
Raw Material,0.0,120,1938,1938,0.0
Raw Material,0.0,42,3188,3188,0.0
Raw Material,0.0,86,1629,1629,0.0
Raw Material,0.0,86,1629,1629,0.0
Raw Material,0.0,86,1629,1629,0.0
Raw Material,0.0,302,3949,3949,0.0
Raw Material,0.0,360,3900,3900,0.0
Raw Material,0.0,92,1721,1721,0.0
Raw Material,0.0,58,1944,1944,0.0
Raw Material,0.0,58,1944,1944,0.0
Raw Material,0.0,58,1944,1944,0.0
Raw Material,0.0,92,1369,1369,0.0
Raw Material,0.0,86,2119,2119,0.0
Raw Material,0.0,114,3030,3030,0.0
Raw Material,0.0,32,4158,4158,0.0
Raw Material,0.0,32,3320,3320,0.0
Type4 Component,0.001,30,95,95,1.0
Type4 Component,0.001,30,95,95,1.0
Raw Material,0.0,87,1575,1575,0.0
Raw Material,0.0,87,1575,1575,0.0
Raw Material,0.0,87,1575,1575,0.0
Raw Material,0.0,58,2669,2669,0.0
Raw Material,0.0,58,2669,2669,0.0
Raw Material,0.0,58,2669,2669,0.0
Raw Material,0.0,47,0,0,0.0
Raw Material,0.0,62,2647,2647,0.0
Raw Material,0.0,170,1150,1150,0.0
Raw Material,0.0,58,2670,2670,0.0
Raw Material,0.0,58,2670,2670,0.0
Raw Material,0.0,32,4,4,0.0
Raw Material,0.0,360,807,807,0.0
Raw Material,0.0,32,5,5,0.0
Raw Material,0.0,92,1243,1243,0.0
Raw Material,0.0,247,3704,3704,0.0
Raw Material,0.0,62,3514,3514,0.0
Order Only,0.002,30,53,53,2.0
Order Only,0.002,30,53,53,2.0
Order Only,0.002,30,53,53,2.0
Raw Material,0.0,86,1268,1268,0.0
Raw Material,0.0,86,1268,1268,0.0
Raw Material,0.0,87,1174,1174,0.0
Raw Material,0.0,291,3488,3488,0.0
Raw Material,0.0,58,2722,2722,0.0
Raw Material,0.0,122,2213,2213,0.0
Raw Material,0.0,58,2723,2723,0.0
Raw Material,0.0,86,1296,1296,0.0
Raw Material,0.0,92,1301,1301,0.0
Raw Material,0.0,114,1999,1999,0.0
Raw Material,0.0,114,1999,1999,0.0
Raw Material,0.0,114,1999,1999,0.0
Order Only,0.002,30,888,888,2.0
Raw Material,0.0,152,1805,1805,0.0
Raw Material,0.0,121,1906,1906,0.0
Order Only,0.002,30,219,219,2.0
Raw Material,0.0,32,890,890,0.0
Order Only,0.002,30,220,220,2.0
Raw Material,0.0,92,1816,1816,0.0
Raw Material,0.0,120,1911,1911,0.0
Raw Material,0.0,86,1977,1977,0.0
Raw Material,0.0,32,2568,2568,0.0
Raw Material,0.0,92,2475,2475,0.0
Raw Material,0.0,42,3126,3126,0.0
Raw Material,0.0,92,2426,2426,0.0
Raw Material,0.0,92,2480,2480,0.0
Raw Material,0.0,247,3793,3793,0.0
Raw Material,0.0,360,3902,3902,0.0
Raw Material,0.0,360,3902,3902,0.0
Raw Material,0.0,360,3902,3902,0.0
Raw Material,0.0,58,2657,2657,0.0
Raw Material,0.0,47,2555,2555,0.0
Raw Material,0.0,92,1379,1379,0.0
Raw Material,0.0,360,4052,4052,0.0
Raw Material,0.0,51,2556,2556,0.0
Raw Material,0.0,122,2298,2298,0.0
Raw Material,0.0,92,1226,1226,0.0
Raw Material,0.0,92,1226,1226,0.0
Raw Material,0.0,92,1226,1226,0.0
Raw Material,0.0,92,1455,1455,0.0
Raw Material,0.0,79,1740,1740,0.0
Raw Material,0.0,111,4194,4194,0.0
Raw Material,0.0,182,3876,3876,0.0
Raw Material,0.0,182,3876,3876,0.0
Raw Material,0.0,182,3876,3876,0.0
Normal,0.001,30,79,79,1.0
Normal,0.001,30,79,79,1.0
Raw Material,0.0,58,2664,2664,0.0
Raw Material,0.0,30,3878,3878,0.0
Raw Material,0.0,360,3965,3965,0.0
Raw Material,0.0,360,3965,3965,0.0
Raw Material,0.0,92,2649,2649,0.0
Raw Material,0.0,30,3416,3416,0.0
Raw Material,0.0,360,3761,3761,0.0
Raw Material,0.0,182,3665,3665,0.0
Raw Material,0.0,122,2956,2956,0.0
Raw Material,0.0,32,3445,3445,0.0
Raw Material,0.0,360,3720,3720,0.0
Raw Material,0.0,32,3446,3446,0.0
Raw Material,0.0,302,893,893,0.0
Raw Material,0.0,30,2580,2580,0.0
Raw Material,0.0,302,894,894,0.0
Raw Material,0.0,86,1676,1676,0.0
Raw Material,0.0,86,1917,1917,0.0
Raw Material,0.0,122,2341,2341,0.0
Raw Material,0.0,22,3425,3425,0.0
Order Only,0.001,30,4134,4134,1.0
Raw Material,0.0,30,2582,2582,0.0
Raw Material,0.0,87,1368,1368,0.0
Raw Material,0.0,87,1368,1368,0.0
Raw Material,0.0,87,1368,1368,0.0
Raw Material,0.0,122,1687,1687,0.0
Raw Material,0.0,114,2028,2028,0.0
Raw Material,0.0,114,2028,2028,0.0
Raw Material,0.0,114,2028,2028,0.0
Raw Material,0.0,44,3050,3050,0.0
Raw Material,0.0,77,924,924,0.0
Raw Material,0.0,360,2945,2945,0.0
Raw Material,0.0,360,2945,2945,0.0
Raw Material,0.0,360,2945,2945,0.0
Raw Material,0.0,72,2628,2628,0.0
Raw Material,0.0,360,839,839,0.0
Raw Material,0.0,92,655,655,0.0
Raw Material,0.0,37,3289,3289,0.0
Raw Material,0.0,122,1422,1422,0.0
Raw Material,0.0,122,1422,1422,0.0
Raw Material,0.0,122,1422,1422,0.0
Raw Material,0.0,92,1465,1465,0.0
Raw Material,0.0,92,1465,1465,0.0
Raw Material,0.0,92,1465,1465,0.0
Raw Material,0.0,58,2629,2629,0.0
Raw Material,0.0,92,1009,1009,0.0
Raw Material,0.0,92,1009,1009,0.0
Raw Material,0.0,92,1467,1467,0.0
Raw Material,0.0,92,2482,2482,0.0
Raw Material,0.0,122,1456,1456,0.0
Raw Material,0.0,142,2929,2929,0.0
Raw Material,0.0,142,2929,2929,0.0
Raw Material,0.0,142,2929,2929,0.0
Raw Material,0.0,32,3149,3149,0.0
Raw Material,0.0,122,2265,2265,0.0
Raw Material,0.0,32,3401,3401,0.0
Raw Material,0.0,92,2816,2816,0.0
Raw Material,0.0,92,2816,2816,0.0
Raw Material,0.0,360,3801,3801,0.0
Raw Material,0.0,92,1361,1361,0.0
Raw Material,0.0,92,1361,1361,0.0
Raw Material,0.0,114,2444,2444,0.0
Raw Material,0.0,122,3802,3802,0.0
Raw Material,0.0,360,3017,3017,0.0
Raw Material,0.0,122,2380,2380,0.0
Raw Material,0.0,122,2380,2380,0.0
Raw Material,0.0,366,3018,3018,0.0
Raw Material,0.0,32,2585,2585,0.0
Order Only,0.001,30,895,895,1.0
Raw Material,0.0,47,3044,3044,0.0
Raw Material,0.0,47,3044,3044,0.0
Raw Material,0.0,30,3046,3046,0.0
Raw Material,0.0,100,1885,1885,0.0
Raw Material,0.0,100,1885,1885,0.0
Raw Material,0.0,100,1885,1885,0.0
Order Only,0.001,30,897,897,1.0
Raw Material,0.0,32,2581,2581,0.0
Order Only,0.001,30,899,899,1.0
Order Only,0.0,30,746,746,0.0
Raw Material,0.0,86,1839,1839,0.0
Raw Material,0.0,86,1839,1839,0.0
Raw Material,0.0,86,1839,1839,0.0
Order Only,0.0,30,747,747,0.0
Raw Material,0.0,182,2443,2443,0.0
Raw Material,0.0,182,2443,2443,0.0
Raw Material,0.0,182,2443,2443,0.0
Raw Material,0.0,360,3707,3707,0.0
Raw Material,0.0,92,997,997,0.0
Raw Material,0.0,92,997,997,0.0
Raw Material,0.0,92,997,997,0.0
Raw Material,0.0,86,1399,1399,0.0
Raw Material,0.0,86,1399,1399,0.0
Raw Material,0.0,86,1399,1399,0.0
Raw Material,0.0,122,3681,3681,0.0
Raw Material,0.0,122,3681,3681,0.0
Raw Material,0.0,149,925,925,0.0
Raw Material,0.0,92,1480,1480,0.0
Raw Material,0.0,44,2955,2955,0.0
