plant,item_code
64,139
46,533
64,195
64,266
64,146
64,89
64,198
64,82
64,118
64,589
50,55
126,55
64,133
50,46
64,39
46,105
64,276
61,582
17,185
72,177
64,173
61,613
64,42
50,49
64,270
126,51
64,77
64,196
64,459
46,101
46,538
64,34
72,182
41,91
64,209
13,159
64,193
156,97
61,557
64,179
46,148
64,593
64,207
64,618
61,611
46,103
167,75
64,147
64,616
10,595
64,260
64,213
64,134
64,242
126,57
50,57
61,580
64,157
64,200
64,262
64,40
64,225
64,630
169,160
64,479
64,592
64,274
61,446
64,156
64,256
13,143
46,439
64,224
60,197
64,280
64,288
60,290
60,292
64,286
17,150
228,642
55,4173
55,4134
55,4128
17,68
228,641
17,152
55,4121
54,4120
54,4140
54,4111
54,4118
117,862
117,895
117,897
217,901
226,774
226,780
226,782
226,784
226,799
54,4115
54,4116
54,4144
54,4146
17,149
61,608
64,281
64,289
60,291
60,293
64,287
117,876
117,905
117,880
226,789
226,791
226,793
226,795
226,797
50,46
64,174
60,291
226,790
226,792
226,794
226,796
226,798
117,877
117,881
117,906
61,607
61,614
61,615
117,863
117,896
117,898
217,902
226,800
226,775
226,781
226,783
226,785
54,4119
54,4145
64,268
64,183
64,90
228,640
17,151
228,639
64,264
64,222
46,116
64,175
64,254
64,219
64,88
64,252
64,78
64,35
64,140
50,56
50,54
126,54
13,142
61,603
64,98
64,189
167,109
156,109
72,178
64,174
17,186
71,76
64,277
46,106
64,199
64,617
46,534
64,239
64,267
64,184
64,269
64,265
46,536
64,190
61,604
13,128
46,107
13,127
64,275
64,631
64,263
72,888
64,278
64,249
72,95
64,255
64,176
64,211
64,137
61,583
46,117
64,243
169,162
46,539
46,102
64,282
64,250
10,586
64,247
64,271
64,245
64,237
64,210
50,47
126,47
13,295
64,136
64,283
64,212
13,129
64,251
46,108
64,238
64,241
46,537
64,158
64,594
64,180
64,240
13,294
64,201
64,279
64,194
61,581
46,104
64,223
46,206
64,214
64,261
64,135
64,208
64,619
10,596
72,889
64,585
126,52
50,52
50,53
126,53
126,48
50,48
126,44
50,44
17,69
118,69
17,74
119,74
123,584
3,584
17,72
119,72
17,71
119,71
10,587
64,587
17,73
119,73
55,4126
138,4126
55,4125
53,4125
17,236
13,236
17,79
13,79
13,96
64,96
169,120
41,120
10,598
64,598
55,4127
138,4127
55,4124
53,4124
10,597
64,597
196,4141
53,4141
169,119
72,119
41,119
167,119
61,612
60,612
71,632
64,632
64,144
71,144
64,164
71,164
64,161
71,161
64,155
71,155
54,4103
137,4103
137,4099
54,4099
196,4097
53,4097
54,4104
137,4104
117,885
217,885
220,882
117,882
117,878
220,878
117,764
226,764
64,154
17,154
217,899
220,899
17,644
60,644
117,766
226,766
140,4152
137,4152
196,4132
54,4132
53,4114
196,4114
53,4113
196,4113
196,4109
53,4109
196,4110
53,4110
54,4117
137,4117
46,494
60,494
46,493
60,493
71,633
64,633
64,220
78,220
61,567
60,567
217,886
117,886
117,765
226,765
220,883
117,883
220,879
117,879
64,218
13,218
78,221
64,221
54,4133
196,4133
72,178
60,178
126,47
50,47
117,767
226,767
217,900
220,900
64,217
13,217
54,4105
137,4105
17,153
64,153
64,182
72,182
217,868
117,868
220,868
220,865
217,865
117,865
53,37
60,37
196,37
137,559
54,559
60,559
228,637
227,637
180,637
71,124
64,124
60,124
60,577
55,577
54,577
54,578
60,578
55,578
228,638
180,638
227,638
71,170
64,170
60,170
220,864
117,864
217,864
53,38
60,38
196,38
217,867
220,867
117,867
17,121
80,121
71,121
64,121
60,121
117,871
217,871
220,871
226,871
221,871
17,122
80,122
71,122
64,122
60,122
117,870
217,870
220,870
221,870
226,870
137,566
138,566
60,566
55,566
54,566
54,565
60,565
55,565
137,565
138,565
226,166
217,166
71,166
64,166
60,166
13,166
64,167
71,167
217,167
226,167
60,167
13,167
13,123
14,123
16,123
17,123
60,123
64,123
71,123
17,141
14,141
13,141
9,141
71,141
64,141
60,141
45,257
71,257
80,257
9,257
14,257
27,257
44,257
60,257
64,257
16,125
8,125
14,125
13,125
10,125
17,125
60,125
64,125
71,125
9,125
64,516
123,504
46,533
61,555
64,471
64,454
10,500
64,573
64,573
3,570
64,570
64,460
50,46
50,46
64,498
123,509
61,582
10,517
64,564
3,480
3,468
64,503
64,457
169,543
156,447
64,551
64,459
64,459
46,538
156,462
64,491
123,505
61,557
41,524
123,478
10,548
61,580
10,544
156,450
61,540
61,558
64,489
64,470
64,479
46,575
64,502
64,512
46,439
17,149
61,563
3,487
64,455
64,483
123,463
64,475
64,515
64,514
3,560
64,519
3,474
64,531
64,553
64,554
3,490
64,499
3,523
10,501
64,574
64,574
46,534
46,536
3,542
64,541
3,488
64,467
64,476
61,583
64,466
46,539
156,451
64,453
10,550
123,458
50,47
126,47
50,47
126,47
10,549
3,528
46,537
64,435
10,497
64,456
3,529
123,506
61,581
64,436
10,545
3,507
123,507
163,568
213,568
46,494
60,494
46,493
60,493
61,567
60,567
64,434
123,434
