plant,orig_production_cost,lot_size,fixed_days_supply,lead_time,component_holding_cost,production_cost,min_production,max_production,item_code
64,0.0,1.0,14,3.0,0.0,0.0,1.0,100.0,182
72,0.0,1.0,14,7.0,0.0,0.0,1.0,100.0,182
64,0.0,1.0,5,1.0,0.0,0.0,1.0,100.0,34
64,0.0,1.0,5,1.0,0.0,0.0,2.0,100.0,35
50,0.0,1.0,1,23.0,0.0,0.0,500.0,100000.0,49
50,0.0,1.0,1,20.0,0.0,0.0,150000.0,150000.0,53
126,0.0,1.0,1,30.0,0.0,0.0,150000.0,150000.0,53
50,0.0,1.0,1,19.0,0.0,0.0,25000.0,25000.0,56
126,0.0,1.0,1,34.0,0.0,0.0,18816.0,18816.0,48
50,0.0,1.0,1,34.0,0.0,0.0,23520.0,23520.0,48
126,0.0,1.0,1,34.0,0.0,0.0,21888.0,21888.0,51
126,0.0,1.0,1,34.0,0.0,0.0,18816.0,18816.0,52
50,0.0,1.0,1,34.0,0.0,0.0,23520.0,23520.0,52
50,0.0,1.0,14,34.0,0.0,0.0,49824.0,49824.0,57
126,0.0,1.0,14,32.0,0.0,0.0,21888.0,21888.0,57
17,0.6903,1.0,3,3.0,0.0,0.6903,1.0,400.0,68
167,6.813,20.0,5,4.0,0.0,6.813,200.0,500.0,75
13,0.0,100.0,1,2.0,0.0,0.0,2000.0,3000.0,79
17,0.0,1.0,1,2.0,0.0,0.0,2000.0,4000.0,79
72,17.7,10.0,1,4.0,0.0,17.7,10.0,1200.0,95
13,0.0,2.0,14,4.0,0.0,0.0,2.0,576.0,96
64,0.0,2.0,14,4.0,0.0,0.0,2.0,576.0,96
156,28.17,8.0,7,8.0,0.0,28.17,120.0,200.0,109
167,28.17,8.0,7,5.0,0.0,28.17,120.0,200.0,109
41,19.59,50.0,3,4.0,0.0,19.59,1000.0,1000.0,119
167,19.59,50.0,3,6.0,0.0,19.59,1600.0,1600.0,119
169,19.59,50.0,3,5.0,0.0,19.59,1500.0,1500.0,119
72,19.59,50.0,3,3.0,0.0,19.59,1000.0,1000.0,119
169,48.9912,200.0,3,9.0,0.0,48.9912,600.0,1000.0,120
41,48.9912,600.0,3,5.0,0.0,48.9912,600.0,1200.0,120
13,0.0,1.0,7,2.0,0.0,0.0,1.0,50.0,127
64,0.0,1.0,7,3.0,0.0,0.0,1.0,10.0,136
64,0.0,1.0,7,2.0,0.0,0.0,1.0,400.0,140
13,0.0,1.0,3,2.0,0.0,0.0,200.0,600.0,143
13,0.0,1.0,7,4.0,0.0,0.0,200.0,600.0,142
13,0.0,1.0,7,2.0,0.0,0.0,1200.0,1200.0,159
169,27.63,50.0,7,10.0,0.0,27.63,50.0,500.0,162
64,0.0,1.0,14,4.0,0.0,0.0,1.0,50.0,209
64,0.0,1.0,14,4.0,0.0,0.0,1.0,50.0,211
64,0.0,1.0,14,3.0,0.0,0.0,1.0,50.0,213
64,0.0,1.0,14,3.0,0.0,0.0,1.0,100.0,207
13,0.0,1.0,14,2.0,0.0,0.0,200.0,200.0,217
64,0.0,1.0,14,2.0,0.0,0.0,200.0,200.0,217
64,0.0,1.0,7,3.0,0.0,0.0,1.0,24.0,241
64,0.0,1.0,14,3.0,0.0,0.0,1.0,32.0,242
64,0.0,1.0,7,3.0,0.0,0.0,50.0,150.0,251
64,0.0,1.0,7,4.0,0.0,0.0,1.0,30.0,252
64,0.0,1.0,7,3.0,0.0,0.0,5.0,10.0,254
64,0.0,1.0,56,2.0,0.0,0.0,1.0,200.0,256
13,0.0,1.0,3,3.0,0.0,0.0,500.0,500.0,294
217,0.0,10.0,10,5.0,0.0,0.0,60.0,300.0,901
196,0.0,1.0,1,7.0,0.0,0.0,100.0,5000.0,4097
53,0.0,1.0,1,23.0,0.0,0.0,100.0,5000.0,4097
54,0.0,1.0,3,7.0,0.0,0.0,100.0,6000.0,4103
