period,plant,qty,item_code
24,110,10.0,6
25,110,10.0,6
29,110,43.0,6
30,110,8.0,6
31,110,4.0,6
32,110,4.0,6
33,110,4.0,6
34,110,4.0,6
35,110,4.0,6
36,110,4.0,6
37,110,5.0,6
24,110,9968.0,18
30,110,1000.0,18
31,110,1000.0,18
32,110,1000.0,18
33,110,1000.0,18
34,110,1000.0,18
35,110,1000.0,18
36,110,1000.0,18
37,110,1000.0,18
38,110,1000.0,18
39,110,1000.0,18
40,110,1000.0,18
41,110,1000.0,18
42,110,1000.0,18
43,110,1000.0,18
48,110,5000.0,18
55,110,5000.0,18
56,110,5000.0,18
63,110,5000.0,18
70,110,5000.0,18
77,110,5000.0,18
84,110,5000.0,18
91,110,5000.0,18
98,110,5000.0,18
105,110,5000.0,18
112,110,2909.0,18
24,110,76326.0,22
25,110,1920.0,22
77,110,50720.0,22
24,110,5490.0,24
27,110,11200.0,24
34,110,10000.0,24
35,110,10000.0,24
70,110,5000.0,24
91,110,6120.0,24
98,110,16570.0,24
24,110,14787.0,26
98,110,12087.0,26
24,110,1066.0,36
26,110,253.0,36
37,110,150.0,36
24,110,600.0,43
48,110,300.0,43
55,110,200.0,43
63,110,138.0,43
70,110,300.0,43
77,110,300.0,43
91,110,1.0,43
24,110,5600.0,414
33,110,89570.0,414
34,110,69660.0,414
24,110,367721.0,646
25,110,160.0,646
56,110,1507.0,646
24,110,12600.0,648
55,110,750.0,648
56,110,1.0,648
63,110,3000.0,648
70,110,4200.0,648
24,110,740.0,649
37,110,841.0,649
24,110,1100.0,651
24,110,4000.0,652
55,110,912.0,652
24,110,220.0,654
24,110,485.0,655
84,110,1915.0,655
24,110,11400.0,656
70,110,2900.0,656
24,110,12900.0,657
25,110,100.0,657
70,110,1800.0,657
24,110,22900.0,658
24,110,1920.0,659
28,110,1280.0,659
48,110,3200.0,659
63,110,2560.0,659
24,110,2000.0,660
25,110,100.0,660
24,110,733.0,661
25,110,300.0,661
24,110,600.0,664
55,110,600.0,664
24,110,16200.0,665
24,110,5940.0,666
24,110,100.0,667
63,110,500.0,667
24,110,1800.0,668
84,110,500.0,668
91,110,390.0,668
24,110,1840.0,673
84,110,1700.0,673
91,110,200.0,673
24,110,10500.0,675
70,110,5340.0,675
24,110,6200.0,677
24,110,10.0,681
70,110,300.0,681
24,110,6900.0,682
24,110,276.0,684
70,110,700.0,684
24,110,176.0,686
24,110,500.0,688
24,110,7142.0,691
25,110,240.0,691
41,110,760.0,691
42,110,1000.0,691
43,110,1000.0,691
48,110,5643.0,691
55,110,5500.0,691
56,110,6285.0,691
63,110,3533.0,691
70,110,3749.0,691
77,110,3384.0,691
84,110,3742.0,691
91,110,4000.0,691
98,110,4676.0,691
24,110,6600.0,693
25,110,100.0,693
27,110,230.0,693
30,110,271.0,693
31,110,369.0,693
32,110,369.0,693
33,110,369.0,693
34,110,369.0,693
35,110,2469.0,693
36,110,369.0,693
37,110,869.0,693
38,110,865.0,693
39,110,865.0,693
40,110,865.0,693
41,110,865.0,693
42,110,2485.0,693
43,110,865.0,693
48,110,6044.0,693
55,110,5940.0,693
56,110,5642.0,693
63,110,8329.0,693
70,110,4951.0,693
77,110,4960.0,693
84,110,4971.0,693
119,110,8089.0,693
24,110,995.0,699
41,110,995.0,699
56,110,3000.0,699
77,110,5.0,699
24,110,2000.0,701
25,110,500.0,701
26,110,500.0,701
48,110,600.0,701
55,110,600.0,701
24,110,3200.0,702
55,110,366.0,702
56,110,366.0,702
63,110,370.0,702
70,110,366.0,702
77,110,366.0,702
84,110,366.0,702
24,110,1000.0,707
56,110,1000.0,707
24,110,4200.0,709
25,110,1200.0,709
26,110,1200.0,709
28,110,600.0,709
41,110,15.0,709
55,110,200.0,709
56,110,1400.0,709
63,110,200.0,709
24,110,3127.0,710
24,110,600.0,711
24,110,5414.0,712
70,110,1200.0,712
24,110,3270.0,713
77,110,6800.0,713
98,110,6000.0,713
24,110,1550.0,716
98,110,200.0,716
24,110,260.0,721
48,110,130.0,721
24,110,800.0,722
25,110,500.0,722
24,110,2140.0,727
56,110,500.0,727
84,110,500.0,727
105,110,220.0,727
24,110,105.0,731
39,110,160.0,731
55,110,300.0,731
56,110,100.0,731
63,110,101.0,731
70,110,100.0,731
